233, 70.095, 559.694
234, 70.180, 560.777
235, 70.258, 561.860
236, 70.001, 563.887
237, 70.060, 564.966
238, 70.110, 566.044
239, 70.153, 567.121
240, 70.189, 568.197
241, 70.216, 569.272
242, 70.236, 570.346
243, 70.248, 571.418
244, 70.252, 572.489
245, 70.248, 573.558
246, 70.237, 574.627
247, 70.218, 575.693
248, 70.191, 576.758
249, 70.157, 577.822
250, 70.115, 578.884
251, 70.065, 579.945
252, 70.008, 581.003
253, 70.331, 581.139
254, 70.262, 582.196
255, 70.186, 583.251
256, 70.102, 584.304
257, 70.010, 585.355
258, 70.316, 585.491
259, 70.213, 586.540
260, 70.102, 587.587
261, 70.400, 587.722
262, 70.278, 588.767
263, 70.148, 589.809
264, 70.010, 590.849
265, 70.295, 590.985
266, 70.146, 592.022
267, 70.427, 592.158
268, 70.267, 593.193
269, 70.099, 594.225
270, 70.371, 594.361
271, 70.643, 594.498
272, 70.915, 594.636
273, 71.185, 594.775
274, 71.456, 594.914
275, 72.190, 594.170
276, 72.463, 594.314
277, 72.735, 594.459
278, 73.006, 594.605
279, 73.277, 594.752
280, 73.548, 594.900
281, 74.303, 594.174
282, 74.575, 594.326
283, 74.847, 594.479
284, 75.119, 594.633
285, 75.389, 594.788
286, 75.660, 594.944
287, 76.434, 594.239
288, 76.707, 594.399
289, 76.978, 594.560
290, 77.250, 594.722
291, 77.520, 594.885
292, 78.312, 594.197
293, 78.584, 594.364
294, 78.856, 594.533
295, 79.127, 594.702
296, 79.398, 594.873
297, 80.206, 594.201
298, 80.478, 594.376
299, 80.750, 594.552
300, 81.021, 594.728
